"","logFC","logCPM","PValue","FDR","significant"
"PCK1",-5.23295760233187,10.6733463323362,8.95866733797489e-99,4.63969381433719e-95,"Yes"
"HXT7",5.09712916743037,8.00661576202262,8.45556184888607e-85,2.18956774076905e-81,"Yes"
"HXT2",4.46336108973262,8.68546327144228,3.36889682468396e-74,5.81583888501274e-71,"Yes"
"ADY2",3.86795180644834,9.76412692528402,4.71905460851466e-63,6.10999595437436e-60,"Yes"
"RGI2",3.77082158890939,8.5011354534098,1.6223618306438e-57,1.68044238418085e-54,"Yes"
"ATO3",3.64449972027761,9.77626209196752,2.49933446731636e-57,2.15734220103857e-54,"Yes"
"TIP1",3.60575274274613,11.1319130942635,8.3689536704739e-57,6.19183015134061e-54,"Yes"
"DPA10",-3.61914797649016,9.58779687855152,1.52208975083289e-56,9.85362852445439e-54,"Yes"
"MLS1",-3.57552662802696,10.3551104797405,8.30105656831367e-56,4.77679688525516e-53,"Yes"
"ICL1",-3.44220430108919,12.044768803754,8.37300763707671e-53,4.33638065524203e-50,"Yes"
"ADH2",3.3777166810475,12.3161874665669,3.15472115340904e-51,1.4853000775914e-48,"Yes"
"ARN2",-3.28744235981583,9.64483395808878,2.22094730607604e-48,9.58523841513984e-46,"Yes"
"ALD4",3.09930011489147,11.8444157947722,2.0578175774002e-44,8.19802864104281e-42,"Yes"
"FBP1",-2.95054385649074,9.11130431382356,3.58127470753678e-40,1.32481583645236e-37,"Yes"
"FAT3",3.00661959357672,7.10099453075876,2.90743395320884e-37,1.0038400295779e-34,"Yes"
"TPO2",-3.11092238487367,6.55051641234211,4.28286850358557e-37,1.38631099875436e-34,"Yes"
"TIS11",-2.71281300488598,7.94717490700901,2.9521874580212e-33,8.9937522618187e-31,"Yes"
"HSP30",-2.60437016267054,9.41024065390716,1.11275036164534e-32,3.2016300683118e-30,"Yes"
"PDC6",2.54837080477889,8.28164530494132,1.97709287721864e-30,5.38913895321859e-28,"Yes"
"SUC2",2.44034988067411,8.54966195652766,7.08256662508849e-29,1.83403062756666e-26,"Yes"
"ECM13",-2.39451543756354,8.69578419612644,5.14897210610414e-28,1.26983459702445e-25,"Yes"
"ARO9",2.95166058256504,5.10198441397948,2.12387507888424e-27,4.99979501524612e-25,"Yes"
"AQY3",2.53296285139429,6.66014988146194,2.42171661116434e-27,5.45307405618266e-25,"Yes"
"FRE3",-2.44904677337908,6.97095770043926,1.67499878204597e-26,3.61450778842338e-24,"Yes"
"FRE2",-2.56710364697342,6.08460309246188,4.52829420947992e-26,9.38081428435859e-24,"Yes"
"ARN1",-2.19350327211876,10.4607497747777,1.39819825266003e-24,2.78510336558704e-22,"Yes"
"POX1",2.39234591273212,6.40291166120368,2.34590781491341e-24,4.49979873090242e-22,"Yes"
"SFC1",-2.14571915821011,9.6106726287244,1.63601135215489e-23,3.02603671171792e-21,"Yes"
"PLB2",2.18327953341963,7.76137847808805,5.13880706392487e-23,9.17720061519549e-21,"Yes"
"GIP2",2.3235610340662,5.87998673037226,7.2093479122339e-22,1.24457376124865e-19,"Yes"
"STL1",-2.04491526882054,9.15018618682469,1.58554898838958e-21,2.64888974544181e-19,"Yes"
"CWP1",2.436232496469,5.31064656678778,2.24966925664598e-21,3.64094908755298e-19,"Yes"
"GND1",1.98201683661269,8.94430743709951,2.39132836731426e-20,3.7529362467638e-18,"Yes"
"AQY2",-2.31135018236414,5.49931319480363,2.83514035615813e-20,4.31858585427733e-18,"Yes"
"SPI1",2.02362732861735,7.67714226341713,3.36191547133865e-20,4.97467435030367e-18,"Yes"
"TMT1",-1.99096745797538,8.12946141975436,3.80014830382075e-20,5.46693557374657e-18,"Yes"
"ARG1",-1.96003099335557,9.24378299178458,4.89732921223896e-20,6.85493729464475e-18,"Yes"
"DPC7",2.28040060134935,5.50141657503861,5.2004297887734e-20,7.08763838843617e-18,"Yes"
"SIT1",-1.95948827850145,8.86591111225616,6.46304427941193e-20,8.58259136489086e-18,"Yes"
"PRM4",-1.9756872516964,8.12985950960781,6.99143757721731e-20,9.05216380310211e-18,"Yes"
"DUR3",-2.07638541998469,6.74354211519664,7.20165785952905e-20,9.09692342792706e-18,"Yes"
"CPP3",1.98827971897981,6.73812466685675,1.67114878871782e-18,2.06068561351657e-16,"Yes"
"ZRT1",-1.94531921840881,7.10773284378437,2.59202238298831e-18,3.12187998174336e-16,"Yes"
"MDH2",-1.83764625677234,10.844535488528,3.70743594245359e-18,4.36382062408344e-16,"Yes"
"FIT3",-1.79973984979806,11.6040686948591,1.4603652296087e-17,1.68071811647632e-15,"Yes"
"TRM13",-1.92015006419467,6.20565537887783,1.24105528712773e-16,1.39519333568255e-14,"Yes"
"FIT2",-1.74951648193194,10.1573273077319,1.266153442307e-16,1.39519333568255e-14,"Yes"
"ATO2",1.73696798965826,8.45879603767384,4.47006143251884e-16,4.82301003312814e-14,"Yes"
"SPS100",3.70732333136599,2.79302125373444,5.94109203573416e-16,6.27937054144229e-14,"Yes"
"FTR1",-1.70385376397014,10.1667498356868,6.9030884617608e-16,7.15021902869184e-14,"Yes"
"SNZ1",-1.70733637826104,9.41820492428084,7.72565816462751e-16,7.84533012443252e-14,"Yes"
"SHH3",1.7455376775142,7.74729982425041,9.4653123307973e-16,9.42708703099985e-14,"Yes"
"HXT6",1.81378653510747,6.49770916568911,1.35286021577843e-15,1.32197416179557e-13,"Yes"
"GIC2",-1.72998479812077,7.00402342007312,6.26812476528581e-15,6.01159595544726e-13,"Yes"
"PXA1",1.7572572380885,6.580733521921,7.27363499640827e-15,6.84180052196113e-13,"Yes"
"SPG1",1.76409117151208,6.48467608466044,7.39796928422135e-15,6.84180052196113e-13,"Yes"
"MF(ALPHA)1",2.13783654375726,4.51765722951499,7.8243062809593e-15,7.10913723317337e-13,"Yes"
"HBN1",-1.69714853034596,7.39215412332671,8.85609785945489e-15,7.9078846231236e-13,"Yes"
"ENO2",1.62682014259739,11.4169059483695,9.23424619417115e-15,8.10579000671396e-13,"Yes"
"ENB1",-1.67475926714239,7.74715925461656,1.11764781381352e-14,9.64716337956708e-13,"Yes"
"MCH2",2.01603341007371,4.83686282562622,1.53969277726801e-14,1.30722440876574e-12,"Yes"
"DAK2",2.06813074211484,4.57766994941298,2.46785916145242e-14,2.06145848341324e-12,"Yes"
"SHH4",1.62331570147601,8.06461411852326,3.48156830039768e-14,2.86207019488247e-12,"Yes"
"HXT3",1.71006300627505,6.50485926292499,3.90879720762495e-14,3.16307199035775e-12,"Yes"
"SOL3",1.63619486854608,7.49303284397567,5.40272052242819e-14,4.30472147471625e-12,"Yes"
"HMX1",-1.58835640309934,8.3965122293072,9.01758221255193e-14,7.07606943618279e-12,"Yes"
"ACH1",-1.5595290382808,10.6537255799371,1.07694156254352e-13,8.32459754091475e-12,"Yes"
"CTA1",1.60258839983832,7.42012219681155,1.89900729319597e-13,1.44631746639146e-11,"Yes"
"ICS2",1.6674144818284,6.30631604263082,2.31803261483824e-13,1.73986824815177e-11,"Yes"
"RNR2",1.53556364629999,8.83139611659466,4.07564345866593e-13,3.01539392463298e-11,"Yes"
"CCC2",-1.56455791311747,7.45537648943158,6.05865194549149e-13,4.41940259516907e-11,"Yes"
"ACS1",1.5083138519844,10.4298543051639,6.32924632640665e-13,4.5526620450639e-11,"Yes"
"FET3",-1.50404652184867,10.7485923051772,6.99503125617797e-13,4.96263929804736e-11,"Yes"
"HXT4",1.67422942357012,5.61075915027343,2.31572694877471e-12,1.62069592806814e-10,"Yes"
"POT1",1.56642995432224,6.55258117344194,2.81789873585347e-12,1.94585300706468e-10,"Yes"
"CIT3",1.51428573137057,7.32167680068091,3.48934838968416e-12,2.37780727765451e-10,"Yes"
"GTO3",-1.55482420690603,6.54401510614822,4.3402490159432e-12,2.91924021474933e-10,"Yes"
"YHB1",-1.44582726625889,9.55162465067596,5.96636275331216e-12,3.96151188453893e-10,"Yes"
"HXK1",1.43496644133981,11.3857351635429,6.3495123524306e-12,4.1625474016757e-10,"Yes"
"COX26",1.47984651339549,7.29422269103433,1.04011766479195e-11,6.73346173244688e-10,"Yes"
"SSA3",1.41271985287008,9.62623018301228,1.66969508058455e-11,1.06757417559844e-09,"Yes"
