,blank_count,acid_count
TDH3,184862,102413
ADH2,75482,7549
ALD4,53430,6481
SED1,91459,47029
PGK1,66976,35789
TIP1,33647,2873
FBA1,65900,41170
ENO2,33511,11280
GRE1,36769,16676
HXK1,31692,12185
HSP12,48450,29677
DDR2,50822,32385
MET17,47299,30575
ENO1,36085,20871
GPM1,35956,21070
NCE102,37465,24024
CCW12,51135,37995
ADY2,13204,940
HOR7,27451,15237
ATO3,13174,1095
ACS1,16559,6051
GLK1,25509,15838
HSP150,45224,35719
HYP2,26105,16621
ADH1,27856,18443
TPI1,24014,15159
TMA10,20265,11580
PIR3,16638,8058
ACT1,26384,18401
BGL2,30016,22167
HPF1,25606,17911
CTS1,18025,10780
CDC19,22871,15842
OPI3,14158,7481
HXT2,6390,301
CTT1,10908,4931
CCW14,14334,8644
SSA3,9320,3639
PRC1,16959,11576
ASC1,20666,15362
ACC1,18026,12791
RGI2,5477,417
CPR1,33227,28461
LSP1,10811,6084
GND1,6377,1678
NA,4972,324
FAS1,11091,6503
TDH2,11394,7028
RPS12,16999,12648
RPS31,17261,13006
MSC1,16712,12547
SUC2,5133,983
AHP1,15137,11089
RTN2,7922,3977
HXT7,4054,123
RPL2B,15847,11991
TAL1,12109,8299
SPG4,8295,4565
EXG1,14065,10461
PDC6,4311,766
NPC2,7319,3776
RNR2,5494,1970
TKL2,10985,7469
YOP1,9176,5803
SSB2,14032,10666
RPL16B,11320,7959
CWP2,25269,21998
NA,3734,498
ALD3,5349,2155
RPL10,17845,14746
PIR1,11565,8487
HTA1,13027,9956
TMA19,13163,10121
ATO2,4390,1369
NA,18538,15568
RPP0,16630,13669
APE3,8420,5463
PGI1,9710,6810
RPL30,13898,11093
RPL4A,9972,7176
MMP1,5784,3043
ITR1,6151,3451
RPS2,15420,12743
NA,4640,1964
RPS0B,10254,7594
RPP2B,9781,7193
RPS13,11863,9338
RPL38,11082,8565
PNS1,5416,2946
GTT1,5754,3286
HTB2,7787,5359
PDI1,9367,7018
RPS27B,7745,5400
GND2,5450,3112
RPL18A,13939,11610
GDH1,26116,23801
TEF2,16066,13785
SAM2,6821,4553
RPL8B,8890,6654
PLB2,2884,660
MPC3,5760,3581
SHH4,3278,1106
SUL1,8312,6147
RTN1,9665,7517
URA2,5889,3746
FMP16,5538,3399
FMP52,5076,2941
BDH1,4522,2395
PST2,6082,3958
NA,16284,14160
UGP1,4890,2766
PIL1,7694,5620
ERV29,4991,2939
RPP2A,7497,5467
EFT2,7164,5143
COF1,7955,5944
FAA1,4062,2058
RPP1B,9057,7056
RPS9B,8497,6512
SPI1,2664,681
YET3,5772,3823
RPL25,11562,9629
CHO1,5051,3137
GSF2,3880,1985
RPL14A,7953,6097
SHH3,2684,832
POR1,30534,28684
ADO1,6501,4665
SSU1,2963,1141
PEX11,3821,2002
RPS20,11087,9280
RPL4B,7130,5324
RPL26B,7051,5247
YCP4,3484,1685
RPS25A,11862,10076
PLN1,10034,8257
ERG11,11690,9918
ERG5,8429,6697
SAH1,6732,5008
FAT3,1980,256
AAC1,3018,1308
HHF1,7561,5858
PMA2,5070,3371
RPL28,12298,10604
BMH1,9963,8286
HSP26,33134,31472
NQM1,5309,3648
PNC1,7683,6029
RPP1A,10959,9317
CYB2,4457,2822
RPL41A,7645,6011
GPP1,3762,2137
HNT1,4617,2993
HTA2,5047,3425
FPR1,7991,6391
ERG1,6027,4432
GCY1,4085,2494
