gene_name,gene_id
PCK1,YKR097W
DPA10,YLR307C-A
MLS1,YNL117W
ICL1,YER065C
ARN2,YHL047C
FBP1,YLR377C
TPO2,YGR138C
TIS11,YLR136C
HSP30,YCR021C
ECM13,YBL043W
FRE3,YOR381W
FRE2,YKL220C
ARN1,YHL040C
SFC1,YJR095W
STL1,YDR536W
AQY2,YLL052C
TMT1,YER175C
ARG1,YOL058W
SIT1,YEL065W
PRM4,YPL156C
DUR3,YHL016C
ZRT1,YGL255W
MDH2,YOL126C
FIT3,YOR383C
TRM13,YOL125W
FIT2,YOR382W
FTR1,YER145C
SNZ1,YMR096W
GIC2,YDR309C
HBN1,YCL026C-B
ENB1,YOL158C
HMX1,YLR205C
ACH1,YBL015W
CCC2,YDR270W
FET3,YMR058W
GTO3,YMR251W
YHB1,YGR234W
VMR1,YHL035C
IDH1,YNL037C
REG2,YBR050C
MAE1,YKL029C
ARG56,YER069W
FUM1,YPL262W
COT1,YOR316C
PRB1,YEL060C
KGD1,YIL125W
HAP4,YKL109W
VHT1,YGR065C
PRY2,YKR013W
IDH2,YOR136W
PIC2,YER053C
RIE1,YGR250C
SNO1,YMR095C
SVS1,YPL163C
YMD8,YML038C
ADE17,YMR120C
LPX1,YOR084W
HIS4,YCL030C
PLB3,YOL011W
PHO4,YFR034C
SRL4,YPL033C
FRE1,YLR214W
UPS2,YLR168C
VTC5,YDR089W
STP4,YDL048C
ROX1,YPR065W
AIM33,YML087C
FTH1,YBR207W
DDR48,YMR173W
IDP2,YLR174W
ERG29,YMR134W
SCW10,YMR305C
MRH1,YDR033W
RKI1,YOR095C
UTH1,YKR042W
PEX21,YGR239C
FMP23,YBR047W
MDH1,YKL085W
AFT1,YGL071W
ACS2,YLR153C
HSP78,YDR258C
INO1,YJL153C
GCV1,YDR019C
MIC60,YKR016W
BNA2,YJR078W
COM2,YER130C
PCL1,YNL289W
MNC1,YBR056W-A
APC2,YLR127C
ATP10,YLR393W
YAP7,YOL028C
PHM6,YDR281C
SAE2,YGL175C
KTD1,YAR028W
DFP2,YAR029W
DHR2,YKL078W
CDA2,YLR308W
PET122,YER153C
