gene_name,gene_id
HXT7,YDR342C
HXT2,YMR011W
ADY2,YCR010C
RGI2,YIL057C
ATO3,YDR384C
TIP1,YBR067C
ADH2,YMR303C
ALD4,YOR374W
FAT3,YKL187C
PDC6,YGR087C
SUC2,YIL162W
ARO9,YHR137W
AQY3,YFL054C
POX1,YGL205W
PLB2,YMR006C
GIP2,YER054C
CWP1,YKL096W
GND1,YHR183W
SPI1,YER150W
DPC7,YKL065W-A
CPP3,YDR034W-B
ATO2,YNR002C
SPS100,YHR139C
SHH3,YMR118C
HXT6,YDR343C
PXA1,YPL147W
SPG1,YGR236C
MF(ALPHA)1,YPL187W
ENO2,YHR174W
MCH2,YKL221W
DAK2,YFL053W
SHH4,YLR164W
HXT3,YDR345C
SOL3,YHR163W
CTA1,YDR256C
ICS2,YBR157C
RNR2,YJL026W
ACS1,YAL054C
HXT4,YHR092C
POT1,YIL160C
CIT3,YPR001W
HXK1,YFR053C
COX26,YDR119W-A
SSA3,YBL075C
SSU1,YPL092W
HAB1,YBR285W
ALD3,YMR169C
SPO1,YNL012W
SHC1,YER096W
IZH4,YOL101C
DIA3,YDL024C
NDJ1,YOL104C
FET4,YMR319C
CAR2,YLR438W
YEF1,YEL041W
FMP48,YGR052W
ANS1,YHR126C
DSF1,YEL070W
REE1,YJL217W
AAC1,YMR056C
SPS19,YNL202W
AGA2,YGL032C
XBP1,YIL101C
GRE1,YPL223C
CTT1,YGR088W
PRM5,YIL117C
BAG7,YOR134W
HMS1,YOR032C
GPD2,YOL059W
FOX2,YKR009C
SPR28,YDR218C
USV1,YPL230W
EMA17,YIL029C
TDA4,YJR116W
PIR3,YKL163W
MFA1,YDR461W
YIG1,YPL201C
AQY1,YPR192W
YCP4,YCR004C
MAN2,YNR073C
MFA2,YNL145W
PIS1,YPR113W
RNR3,YIL066C
CYC7,YEL039C
HEF3,YNL014W
DIC1,YLR348C
PAU7,YAR020C
RTN2,YDL204W
FAA1,YOR317W
SED1,YDR077W
GAC1,YOR178C
PER33,YLR064W
GSF2,YML048W
NNR1,YNL200C
ECI1,YLR284C
NPC2,YDL046W
CTS2,YDR371W
SRD1,YCR018C
GET2,YER083C
EMI2,YDR516C
COX5B,YIL111W
IRC18,YJL037W
ALT2,YDR111C
TDA1,YMR291W
ENA1,YDR040C
ERR3,YMR323W
PRS2,YER099C
LOH1,YJL038C
IDP3,YNL009W
TPC1,YGR096W
HUG1,YML058W-A
IMA5,YJL216C
MIN7,YBR201C-A
CSM4,YPL200W
GAS2,YLR343W
HOP2,YGL033W
SPS1,YDR523C
DIF1,YLR437C
MRX11,YPL041C
IRC10,YOL015W
ANB1,YJR047C
GAL10,YBR019C
PHO92,YDR374C
ECM12,YHR021W-A
