"","Count"
"TDH3",102413
"ICL1",65255
"PDC1",50287
"SED1",47029
"FBA1",41170
"FIT3",40786
"PMA1",40480
"NCE103",38773
"CCW12",37995
"PGK1",35789
"HSP150",35719
"CIT2",35172
"ATP2",33874
"DDR2",32385
"HXT5",31754
"HSP26",31472
"MET17",30575
"HSP12",29677
"POR1",28684
"CPR1",28461
"PCK1",26824
"CIT1",26752
"YGP1",26397
"ATP1",25444
"MDH2",24230
"NCE102",24024
"GDH1",23801
"ACO1",23683
"SPO24",23470
"BGL2",22167
"CWP2",21998
"FET3",21451
"OLE1",21076
"GPM1",21070
"SSA1",21044
"ENO1",20871
"MLS1",20376
"ACH1",20285
"ARN1",19501
"SOD1",19377
"MIR1",19279
"MRH1",19048
"JEN1",18735
"YRO2",18453
"ADH1",18443
"MEP2",18437
"ACT1",18401
"PET9",18173
"NCW1",18102
"HPF1",17911
"ZEO1",17745
"CPA1",17642
"TSA1",16973
"PEP4",16951
"PST1",16876
"GRE1",16676
"GCN4",16663
"HYP2",16621
"SDH2",16380
"HSC82",16264
"MDH1",16261
"FUM1",16045
"ERG3",15987
"CDC19",15842
"GLK1",15838
"VHT1",15702
"UTH1",15624
"ASC1",15362
"HOR7",15237
"TPI1",15159
"RPL3",15125
"YEF3",14962
"FIT2",14842
"FTR1",14830
"RPL10",14746
"SDH1",14520
"RPS5",14290
"IDP2",14157
"GAS1",14020
"TEF2",13785
"SDH4",13732
"SIP18",13691
"RPP0",13669
"ACS2",13510
"NDE1",13366
"ERG25",13206
"RPS31",13006
"ACC1",12791
"RPS2",12743
"RPS12",12648
"MSC1",12547
"ECM33",12483
"ATP15",12483
"COR1",12248
"ARN2",12242
"HXK1",12185
"SHM2",12109
"DPA10",11996
"RPL2B",11991
"ILV5",11860
"SDH3",11842
"NCA3",11787
"PYC1",11740
"ATP4",11722
"SOD2",11711
"YAT2",11703
"RPL18A",11610
"TMA10",11580
"PRC1",11576
"RPL41B",11505
"ISU1",11311
"PMP3",11290
"ENO2",11280
"LEU4",11279
"COX5A",11242
"RPL30",11093
"AHP1",11089
"MET6",11053
"IDH2",10966
"CPA2",10817
"CTS1",10780
"SFC1",10751
"RPL15A",10711
"SSB2",10666
"PSA1",10655
"RPL28",10604
"SSC1",10596
"EXG1",10461
"MCR1",10445
"ATP3",10323
"COX4",10310
"TMA19",10121
"QCR2",10087
"RPS25A",10076
"IDH1",10067
"RPL5",10055
"HSP104",10004
"TOS1",9983
"HTA1",9956
"ERG11",9918
"HSP30",9850
"RPS14A",9811
"RPL25",9629
"PRB1",9619
"AGX1",9599
"RPS15",9442
"OM45",9378
"RPS13",9338
"RPP1A",9317
"KGD2",9309
"RPS20",9280
"HHT2",9271
"ALD6",9262
"YHB1",9255
"RPS3",9213
"IPP1",9183
"CYT1",9168
"SCW10",9164
"ATP5",9026
"HOM3",8974
"HTB1",8953
"SNZ1",8830
"ATP7",8804
"RPL32",8802
"RPL13B",8773
"PRY1",8756
"OM14",8751
"CRH1",8744
"RPL36B",8727
"YAT1",8698
"KGD1",8665
"WTM1",8645
"CCW14",8644
"RIP1",8578
"RPL38",8565
"PIR1",8487
"RPS1B",8456
"HHT1",8444
"QCR7",8444
"EFB1",8403
"LPD1",8401
"RPS26A",8390
"ARG4",8354
"TAL1",8299
"BMH1",8286
"PLN1",8257
"FBP1",8254
"ADE17",8170
"ILV2",8131
"ARG1",8130
